Mailing ID,Mailing Name,Subject,Sender,Date Sent,Time Sent,List Size,# Of Opens,Open Rate Percent,# of Clicks,Click Rate Percent,Webform Unsubs,Unsubscribe Percent
426,2013 06 03 EOFY Reading Registrants Low,Moments of discovery,The Metropolitan Museum of Art (MetMuseum_Newsletter@metmuseum.org),6/11/13,10:22:04 AM,121372,28336,0.233464061,989,0.008148502,185,0.00152424
425,2013 06 03 EOFY Reading Lapsed Members Low,Moments of discovery,The Metropolitan Museum of Art (membership@metmuseum.org),6/11/13,10:16:46 AM,116083,21732,0.187210875,613,0.005280704,195,0.001679833
437,2013 06 03 EOFY Reading Non-Appeal Donors Mid,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:09:00 AM,2620,519,0.198091603,14,0.005343511,7,0.002671756
438,2013 06 03 EOFY Reading Non-Appeal Donors Low,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:09:00 AM,2106,369,0.175213675,10,0.004748338,3,0.001424501
436,2013 06 03 EOFY Reading Appeal Donors Low,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:08:15 AM,379,76,0.200527704,8,0.021108179,2,0.005277045
435,2013 06 03 EOFY Reading Appeal Donors Mid,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:03:29 AM,434,111,0.255760369,3,0.006912442,0,0
434,2013 06 03 EOFY Reading Appeal Donors High,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:02:47 AM,27,8,0.296296296,2,0.074074074,0,0
433,2013 06 03 EOFY Reading Comp Non-Donors Low,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,10:02:31 AM,4,1,0.25,0,0,0,0
432,2013 06 03 EOFY Reading Comp Non-Donors Mid,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,9:57:34 AM,778,325,0.417737789,3,0.003856041,1,0.001285347
431,2013 06 03 EOFY Reading Comp Donors Low,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,9:56:33 AM,5,1,0.2,0,0,0,0
430,2013 06 03 EOFY Reading Comp Donors Mid,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,9:56:22 AM,20,8,0.4,1,0.05,0,0
429,2013 06 03 EOFY Reading Met Net Low,Moments of discovery,The Metropolitan Museum of Art (membership@metmuseum.org),6/11/13,9:51:48 AM,23149,7554,0.326320791,181,0.007818912,23,0.000993563
427,2013 06 03 EOFY Reading Comp Donors High,Moments of discovery,The Metropolitan Museum of Art (development@metmuseum.org),6/11/13,9:50:20 AM,22,5,0.227272727,0,0,0,0
428,2013 06 03 EOFY Reading Members Mid,Moments of discovery,The Metropolitan Museum of Art (membership@metmuseum.org),6/11/13,9:47:33 AM,75289,25308,0.336144722,654,0.008686528,62,0.000823493
424,2013 06 04 Apology,Our apologies,The Metropolitan Museum of Art (development@metmuseum.org),6/4/13,11:57:59 AM,357,281,0.787114846,1,0.00280112,0,0
421,2013 06 03 EOFY Boats Registrants Low,Across time and international borders,The Metropolitan Museum of Art (MetMuseum_Newsletter@metmuseum.org),6/3/13,3:25:01 PM,122220,28422,0.232547865,1056,0.008640157,217,0.001775487
409,2013 06 03 EOFY Boats Lapsed Members Low,Across time and international borders,The Metropolitan Museum of Art (membership@metmuseum.org),6/3/13,3:20:18 PM,112091,20788,0.185456459,607,0.005415243,170,0.001516625
419,2013 06 03 EOFY Boats Non-Appeal Donors Low,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,3:11:30 PM,2197,418,0.190259445,17,0.007737824,15,0.006827492
420,2013 06 03 EOFY Boats Non-Appeal Donors Mid,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,3:07:24 PM,2682,597,0.222595078,17,0.006338553,4,0.001491424
416,2013 06 03 EOFY Boats Appeal Donors Low,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,3:03:22 PM,389,77,0.197943445,7,0.017994859,1,0.002570694
417,2013 06 03 EOFY Boats Appeal Donors Mid,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,3:00:37 PM,454,111,0.244493392,3,0.00660793,1,0.002202643
418,2013 06 03 EOFY Boats Appeal Donors High,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,2:53:39 PM,27,8,0.296296296,1,0.037037037,0,0
414,2013 06 03 EOFY Boats Comp Non-Donors Low,Across time and international borders,The Metropolitan Museum of Art (development@metmuseum.org),6/3/13,2:49:10 PM,4,0,0,0,0,0,0
